RegonID,RegionName,Heirarchy,RegionCode,RegionTypeID,ParentRegionID,OrderIndex,CreatedBy,CreatedDate,UpdatedBy,UpdatedDate
1,India,0,IN,1,NULL,1,1,NULL,NULL,NULL
2,Kerala,1,KL,2,1,1,1,NULL,NULL,NULL
3,Varkala,6,,7,13,1,1,NULL,NULL,NULL
4,Kilimanoor,6,,7,13,2,1,NULL,NULL,NULL
5,Chirayinkeezhu,6,,7,13,3,1,NULL,NULL,NULL
6,Vamanapuram,6,,7,13,4,1,NULL,NULL,NULL
7,Vellanad,6,,7,13,5,1,NULL,NULL,NULL
8,Nedumangad,6,,7,13,6,1,NULL,NULL,NULL
9,Nemom,6,,7,13,7,1,NULL,NULL,NULL
10,Perumkadavila,6,,7,13,8,1,NULL,NULL,NULL
11,Athiyannoor,6,,7,13,9,1,NULL,NULL,NULL
12,Parassala,6,,7,13,10,1,NULL,NULL,NULL
13,Thiruvananthapuram,2,TVP,3,2,1,1,NULL,NULL,NULL
14,Thiruvananthapuram,3,,4,13,1,1,NULL,NULL,NULL
15,Varkala,4,,5,13,1,1,NULL,NULL,NULL
16,Attingal,4,,5,13,2,1,NULL,NULL,NULL
17,Nedumangad,4,,5,13,3,1,NULL,NULL,NULL
18,Neyyattinkara,4,,5,13,4,1,NULL,NULL,NULL
19,Chemmaruthy,5,,6,13,1,1,NULL,NULL,NULL
20,Edava,5,,6,13,2,1,NULL,NULL,NULL
21,Elakamon,5,,6,13,3,1,NULL,NULL,NULL
22,Manamboor,5,,6,13,4,1,NULL,NULL,NULL
23,Ottoor,5,,6,13,5,1,NULL,NULL,NULL
24,Cherunniyoor,5,,6,13,6,1,NULL,NULL,NULL
25,Vettoor,5,,6,13,7,1,NULL,NULL,NULL
26,Kilimanoor,5,,6,13,8,1,NULL,NULL,NULL
27,Pazhayakunnummel,5,,6,13,9,1,NULL,NULL,NULL
28,Karavaram,5,,6,13,10,1,NULL,NULL,NULL
29,Madavoor,5,,6,13,11,1,NULL,NULL,NULL
30,Pallickal,5,,6,13,12,1,NULL,NULL,NULL
31,Nagaroor,5,,6,13,13,1,NULL,NULL,NULL
32,Navaikulam,5,,6,13,14,1,NULL,NULL,NULL
33,Pulimath,5,,6,13,15,1,NULL,NULL,NULL
34,Azhoor,5,,6,13,16,1,NULL,NULL,NULL
35,Anjuthengu,5,,6,13,17,1,NULL,NULL,NULL
36,Vakkom,5,,6,13,18,1,NULL,NULL,NULL
37,Chirayinkeezhu,5,,6,13,19,1,NULL,NULL,NULL
38,Kizhuvilam,5,,6,13,20,1,NULL,NULL,NULL
39,Mudakkal,5,,6,13,21,1,NULL,NULL,NULL
40,Kadakkavoor,5,,6,13,22,1,NULL,NULL,NULL
41,Kallara,5,,6,13,23,1,NULL,NULL,NULL
42,Nellanad,5,,6,13,24,1,NULL,NULL,NULL
43,Pullampara,5,,6,13,25,1,NULL,NULL,NULL
44,Vamanapuram,5,,6,13,26,1,NULL,NULL,NULL
45,Pangode,5,,6,13,27,1,NULL,NULL,NULL
46,Nanniyode,5,,6,13,28,1,NULL,NULL,NULL
47,Peringammala,5,,6,13,29,1,NULL,NULL,NULL
